X,Y,Z,Intensity
55.91312,-37.587593,271.45312,255.0
56.31149,-37.506527,270.8162,255.0
56.940357,-37.579052,271.28787,255.0
56.321575,-36.83431,265.86002,255.0
56.033207,-36.31708,262.07562,255.0
54.95631,-35.30252,254.70401,248.0
53.601143,-34.128654,246.18576,243.0
51.017735,-32.20009,232.2275,238.0
48.82357,-30.548454,220.27133,236.0
43.824657,-27.185335,195.98137,242.0
37.75729,-23.22231,167.37714,255.0
28.374348,-17.304155,124.69553,255.0
21.43798,-12.964605,93.404724,255.0
18.985224,-11.386033,82.014435,255.0
15.840612,-9.421931,67.85241,255.0
13.868943,-8.181859,58.909332,255.0
12.125648,-7.095503,51.07652,255.0
12.083894,-7.0142837,50.480843,255.0
12.284561,-7.0739527,50.899075,255.0
13.976651,-7.984714,57.439518,255.0
15.779588,-8.944022,64.326096,255.0
17.488548,-9.835548,70.722084,255.0
19.890265,-11.099907,79.795265,255.0
22.259579,-12.326949,88.59597,255.0
25.73014,-14.140546,101.607185,255.0
28.273912,-15.421281,110.78417,255.0
39.2312,-21.237402,152.5306,255.0
55.360363,-29.745989,213.59027,243.0
62.185402,-33.16665,238.09561,236.0
68.53647,-36.286255,260.42813,244.0
72.33309,-38.01791,272.79044,255.0
75.41528,-39.35176,282.29266,255.0
78.08521,-40.452923,290.12085,255.0
79.33692,-40.80892,292.6018,255.0
81.15943,-41.451416,297.13474,255.0
81.84432,-41.507957,297.46558,255.0
82.43369,-41.515602,297.4454,255.0
83.51071,-41.767033,299.17087,255.0
83.55125,-41.500187,297.18353,255.0
84.57266,-41.720867,298.68698,255.0
85.15221,-41.722054,298.6181,255.0
86.60758,-42.149475,301.59857,255.0
87.129555,-42.119953,301.3082,255.0
88.34771,-42.425144,303.41113,255.0
89.3187,-42.608395,304.64056,255.0
90.47408,-42.876637,306.4763,255.0
91.0422,-42.864887,306.30966,255.0
91.64883,-42.871307,306.27234,255.0
92.24236,-42.871563,306.19046,255.0
7.7885027,-10.573381,78.0428,255.0
7.766401,-10.346261,76.35926,255.0
7.7145777,-10.088613,74.450615,255.0
7.550872,-9.696573,71.550545,255.0
6.8289294,-8.614237,63.55775,255.0
6.20984,-7.6970406,56.78475,255.0
6.066516,-7.3908315,54.520123,255.0
5.5169315,-6.6082892,48.742455,255.0
4.9610667,-5.844224,43.10218,255.0
4.531426,-5.2512865,38.724995,255.0
0.0,-0.0,0.0,255.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,255.0
27.500498,-20.101322,147.48985,255.0
32.805996,-23.735899,174.1279,255.0
41.797943,-29.937845,219.5875,255.0
47.056477,-33.36892,244.7106,255.0
49.61691,-34.83795,255.43832,255.0
51.467,-35.784424,262.33096,255.0
52.40891,-36.087265,264.50314,255.0
53.34125,-36.377785,266.58374,255.0
54.254547,-36.649937,268.5285,255.0
55.166153,-36.915848,270.42636,255.0
55.79229,-36.98756,270.90073,255.0
56.401833,-37.047054,271.28488,255.0
56.407566,-36.712482,268.78336,255.0
56.58254,-36.49311,267.12558,255.0
56.410133,-36.055653,263.87186,255.0
54.963413,-34.818703,254.76909,248.0
53.501972,-33.594303,245.76129,243.0
51.345352,-31.958597,233.74828,237.0
49.408733,-30.486965,222.9395,234.0
43.98862,-26.909603,196.73944,238.0
37.163555,-22.540974,164.76591,255.0
27.844852,-16.746353,122.38403,255.0
21.816011,-13.010727,95.0638,255.0
19.028574,-11.254178,82.21208,255.0
15.842656,-9.292805,67.869736,255.0
13.995414,-8.142265,59.454033,255.0
12.48328,-7.2037373,52.589603,255.0
12.01157,-6.87586,50.18504,255.0
12.488256,-7.091779,51.749588,255.0
13.217357,-7.446494,54.325928,255.0
15.446763,-8.63427,62.97727,255.0
17.403732,-9.652464,70.38798,255.0
20.123121,-11.074523,80.73963,255.0
22.163017,-12.10371,88.222786,255.0
25.577635,-13.862303,101.01769,255.0
28.557865,-15.36071,111.910904,255.0
39.134613,-20.892088,152.17429,255.0
55.21962,-29.25997,213.07414,242.0
62.308,-32.77238,238.59512,236.0
68.10678,-35.560013,258.82812,242.0
72.09837,-37.370396,271.93958,255.0
75.29628,-38.746227,281.88278,255.0
78.43701,-40.07313,291.46475,255.0
78.83691,-39.990833,290.79446,255.0
80.990685,-40.79309,296.5544,255.0
81.72255,-40.87294,297.06052,255.0
82.22635,-40.8384,296.7347,255.0
82.753426,-40.815826,296.49545,255.0
83.758354,-41.027634,297.9579,255.0
84.67002,-41.19118,299.06866,255.0
85.436714,-41.282463,299.65375,255.0
86.05553,-41.30155,299.71405,255.0
86.901436,-41.42864,300.55734,255.0
88.194275,-41.765697,302.92252,255.0
90.10841,-42.390594,307.37296,255.0
89.93365,-42.031036,304.68414,255.0
90.834274,-42.175488,305.64877,255.0
91.5826,-42.24781,306.08975,255.0
92.55507,-42.42194,307.26733,255.0
6.785414,-9.082415,68.00009,255.0
6.8865023,-9.045393,67.71656,255.0
6.832312,-8.809516,65.94443,255.0
6.6143966,-8.37484,62.68453,255.0
6.079004,-7.5606947,56.585163,255.0
5.5895667,-6.831036,51.119164,255.0
5.350244,-6.4267673,48.08895,255.0
4.875099,-5.7575803,43.0772,255.0
4.391388,-5.1005692,38.157524,255.0
0.0,-0.0,0.0,255.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
0.0,-0.0,0.0,0.0
23.960127,-17.446793,129.87218,255.0
27.83648,-20.061504,149.31035,255.0
36.453884,-26.005272,193.51425,255.0
43.600895,-30.79117,229.08789,255.0
